#node1	node2	combined_score
FAA1	FOX2	0.85
FAA1	TGL4	0.722
FAA1	NMT1	0.82
FAA1	MDM1	0.803
FAA1	FAA4	0.966
FAA1	TGL3	0.796
FAA1	NMA111	0.883
FAA1	LRO1	0.716
FAA1	PXA1	0.784
FAA1	FAS2	0.961
FAA2	FAT1	0.91
FAA2	PCS60	0.89
FAA2	PEX5	0.802
FAA2	LRO1	0.711
FAA2	NMT1	0.722
FAA2	OLE1	0.756
FAA2	HFA1	0.765
FAA2	TGL5	0.775
FAA2	TGL3	0.776
FAA2	FAA4	0.788
FAA2	TES1	0.793
FAA2	FAA3	0.793
FAA2	YJU3	0.862
FAA2	POT1	0.932
FAA2	FAS1	0.961
FAA2	FAS2	0.965
FAA2	PXA2	0.975
FAA2	SPS19	0.979
FAA2	PXA1	0.983
FAA2	PEX11	0.987
FAA2	FOX2	0.99
FAA2	POX1	0.999
FAA3	FAT1	0.858
FAA3	TGL2	0.712
FAA3	OLE1	0.754
FAA3	POX1	0.952
FAA3	TGL5	0.714
FAA3	NMT1	0.754
FAA3	TGL4	0.779
FAA3	TGL3	0.813
FAA3	YJU3	0.896
FAA3	FAS1	0.967
FAA3	FAS2	0.967
FAA4	FAT1	0.971
FAA4	OLE1	0.936
FAA4	POX1	0.984
FAA4	TES1	0.712
FAA4	YJU3	0.885
FAA4	TGL1	0.743
FAA4	FAS1	0.969
FAA4	FOX2	0.702
FAA4	TGL4	0.748
FAA4	INA1	0.88
FAA4	LRO1	0.72
FAA4	PXA1	0.78
FAA4	TGL5	0.808
FAA4	TGL3	0.885
FAA4	FAS2	0.971
FAS1	IFA38	0.756
FAS1	TSC13	0.713
FAS1	TMA17	0.8
FAS1	SAH1	0.774
FAS1	HOM3	0.716
FAS1	OLE1	0.894
FAS1	GCN1	0.784
FAS1	POX1	0.774
FAS1	HTD2	0.915
FAS1	OPI3	0.718
FAS1	OAR1	0.928
FAS1	YRF1-5	0.708
FAS1	MCT1	0.8
FAS1	LIP2	0.801
FAS1	LAT1	0.855
FAS1	FKS1	0.869
FAS1	HFA1	0.99
FAS1	FAS2	0.999
FAS2	IFA38	0.706
FAS2	TMA17	0.8
FAS2	SAH1	0.819
FAS2	OLE1	0.853
FAS2	GCN1	0.779
FAS2	POX1	0.733
FAS2	YHL050C	0.759
FAS2	HTD2	0.944
FAS2	OAR1	0.945
FAS2	YLL067C	0.733
FAS2	LIP2	0.804
FAS2	FKS1	0.861
FAS2	YRF1-5	0.728
FAS2	PAH1	0.705
FAS2	HFA1	0.99
FAS2	MCT1	0.912
FAT1	SCT1	0.708
FAT1	TGL5	0.7
FAT1	YJU3	0.707
FAT1	PXA1	0.796
FAT1	TGL3	0.819
FAT1	OLE1	0.822
FAT1	SLC1	0.851
FAT1	YEH1	0.86
FAT1	STE23	0.9
FAT1	NCP1	0.9
FAT1	IDP2	0.9
FAT1	PXP1	0.9
FAT1	FMS1	0.9
FAT1	PCD1	0.903
FAT1	TGL1	0.945
FAT1	SPS19	0.946
FAT1	TES1	0.951
FAT1	FOX2	0.959
FAT1	POX1	0.975
FKS1	GCN1	0.808
FMP30	YJU3	0.891
FMP30	SPO14	0.824
FMP30	PSD1	0.879
FMS1	PXP1	0.915
FMS1	POX1	0.901
